,id,title,link
,1,CNBCTV18,https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmNuYmN0djE4LmNvbS9pbmRpYS9pbmRpYXMtYWN0aXZlLWNhc2VzLW9mLWNvdmlkLTE5LWRlY2xpbmUtdG8tOTMyNzctbG93ZXN0LWluLTU2MC1kYXlzLTExNzkwMzkyLmh0bdIBc2h0dHBzOi8vd3d3LmNuYmN0djE4LmNvbS9pbmRpYS9pbmRpYXMtYWN0aXZlLWNhc2VzLW9mLWNvdmlkLTE5LWRlY2xpbmUtdG8tOTMyNzctbG93ZXN0LWluLTU2MC1kYXlzLTExNzkwMzkyLmh0bS9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
,2,Business Insider India,https://news.google.com/articles/CBMilAFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuaW4vc3RvY2stbWFya2V0L25ld3Mvc3AtNTAwLWhpdHMtcmVjb3JkLWhpZ2gtYXMtaW52ZXN0b3JzLWRpZ2VzdC1oaWdoZXN0LWluZmxhdGlvbi1pbi00LWRlY2FkZXMvYXJ0aWNsZXNob3cvODgyMTU4ODguY21z0gGYAWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5pbi9zdG9jay1tYXJrZXQvbmV3cy9zcC01MDAtaGl0cy1yZWNvcmQtaGlnaC1hcy1pbnZlc3RvcnMtZGlnZXN0LWhpZ2hlc3QtaW5mbGF0aW9uLWluLTQtZGVjYWRlcy9hbXBfYXJ0aWNsZXNob3cvODgyMTU4ODguY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
,3,The White House,https://news.google.com/articles/CBMilQFodHRwczovL3d3dy53aGl0ZWhvdXNlLmdvdi9icmllZmluZy1yb29tL3ByZXNpZGVudGlhbC1hY3Rpb25zLzIwMjEvMDEvMjAvZXhlY3V0aXZlLW9yZGVyLXByb3RlY3RpbmctdGhlLWZlZGVyYWwtd29ya2ZvcmNlLWFuZC1yZXF1aXJpbmctbWFzay13ZWFyaW5nL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
,4,The Hindu,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL2ludGVybmF0aW9uYWwvZ3JvdW5kLXplcm8tY2F1Z2h0LWluLWEtemVyby1jb3ZpZC1kaWxlbW1hL2FydGljbGUzNzkyODI5Mi5lY2XSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
7,8,Geo News,https://news.google.com/articles/CAIiEAI7978Yi7qF8Mju6xY_gFYqMwgEKioIACIQueFm35xOZipy-QOS9ivtJCoUCAoiELnhZt-cTmYqcvkDkvYr7SQwxLD5Bg?hl=en-IN&gl=IN&ceid=IN%3Aen
8,9,Times Now,https://news.google.com/articles/CAIiEDH7sl4hB1cVkm4rX9B6cXgqGQgEKhAIACoHCAowr6n9CjCr4PQCMOTdpQY?hl=en-IN&gl=IN&ceid=IN%3Aen
10,11,NDTV,https://news.google.com/articles/CAIiELkclmwbSb7vNoGUFg5x8DkqGQgEKhAIACoHCAowj8n_CjDIrfkCMILSxQY?hl=en-IN&gl=IN&ceid=IN%3Aen
12,13,The Indian Express,https://news.google.com/articles/CAIiEOvwfZELryKFK-BNLw4cFeEqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
13,14,Moneycontrol,https://news.google.com/articles/CAIiENN_RuHtmxBBDkyT5hFm_2EqGQgEKhAIACoHCAowlbCPCzCrzaIDMJXjrgY?hl=en-IN&gl=IN&ceid=IN%3Aen
14,15,CNET,https://news.google.com/articles/CAIiEPzDK4d529BYXiUWOEKUeDEqEwgEKgwIACoFCAow4GowoAgwkRo?hl=en-IN&gl=IN&ceid=IN%3Aen
